matricula,modelo,año,fabricante
1899ksj,RL,2002,Acura
3929enc,Mariner,2008,Mercury
1567kix,Bravada,1998,Oldsmobile
5337ybj,XL-7,2004,Suzuki
9907poo,Aspire,1996,Ford
5662qqh,Lumina,1996,Chevrolet
6471uom,Equator,2009,Suzuki
7842xtr,Regal,1990,Buick
0004qqt,900,1991,Saab
8537ecg,Econoline E350,1993,Ford
3562aea,RX Hybrid,2010,Lexus
7364duq,G-Class,2003,Mercedes-Benz
5645wdi,Dakota,2011,Ram
8932rta,Avalanche,2010,Chevrolet
6284zyz,G-Series G30,1993,Chevrolet
4281leq,Bonneville,1995,Pontiac
5926dby,Miata MX-5,1996,Mazda
2871ijj,Endeavor,2010,Mitsubishi
7078aqm,F450,2009,Ford
1646mmt,M5,2003,BMW
5616jxp,S6,2011,Audi
2897dsc,Sedona,2002,Kia
2133xxj,Cordia,1986,Mitsubishi
0521ouw,Passport,1999,Honda
8519fck,F-Series,2002,Ford
4510lhh,Cabriolet,1999,Volkswagen
4822wqj,Tempest,1967,Pontiac
6212gjf,Familia,1992,Mazda
0512apa,Arnage,2005,Bentley
5607ipz,Sonoma,2000,GMC
5831kuv,IS F,2008,Lexus
5814qte,Tacoma Xtra,1995,Toyota
2020xdf,NSX,1996,Acura
4313rql,Wrangler,1998,Jeep
4221fak,Truck,1989,Mitsubishi
8930xok,Yukon,2011,GMC
1507xcq,Xterra,2008,Nissan
1495ndg,Intrepid,1993,Dodge
1994ojc,X5,2011,BMW
3048zpb,Miata MX-5,2003,Mazda
2830usy,Sierra 2500,2011,GMC
1489wup,Traverse,2010,Chevrolet
4152zmr,E-350 Super Duty,2006,Ford
7970epa,CC,2011,Volkswagen
2792kcq,S-Class,1991,Mercedes-Benz
6015nqq,SJ,1995,Suzuki
9156trt,350Z,2003,Nissan
9078dpc,Savana 2500,2007,GMC
2413xwt,MDX,2001,Acura
8888rzk,98,1992,Oldsmobile
0374kst,Prius v,2012,Toyota
3274etn,Grand Voyager,1999,Plymouth
3681dye,G-Class,2005,Mercedes-Benz
3894kef,Mazda3,2007,Mazda
0918bfh,Achieva,1994,Oldsmobile
6293yrc,S60,2009,Volvo
8506dvc,X-90,1997,Suzuki
8466bas,Grand Marquis,1989,Mercury
6355qra,325,2006,BMW
0233ebo,900,1994,Saab
0903wxk,Tucson,2005,Hyundai
0543lmc,Sonata,1997,Hyundai
4256jdq,Impulse,1992,Isuzu
4854awu,Envoy,1999,GMC
1046wmc,Legacy,2002,Subaru
5240icd,RL,2003,Acura
9788rep,Golf,2000,Volkswagen
1817uwq,Escort ZX2,2003,Ford
1947zkb,SC,2006,Lexus
6994wyq,Cutlass Supreme,1997,Oldsmobile
3113tpy,S-Class,2011,Mercedes-Benz
6265pbx,Intrepid,2004,Dodge
7540qei,Passat,2004,Volkswagen
8902bke,Corvette,2003,Chevrolet
6857llo,Sorento,2011,Kia
9110fei,Forte,2010,Kia
3497wmf,tC,2005,Scion
0821yag,Club Wagon,1998,Ford
6503yia,929,1988,Mazda
4904vwg,Civic,2007,Honda
9900pld,Explorer,1995,Ford
8586wxp,Tucson,2008,Hyundai
2039elg,Boxster,2011,Porsche
8884uch,M3,2002,BMW
3943wqz,Camry Solara,2006,Toyota
7399gqu,xD,2012,Scion
7502nym,SC,2010,Lexus
8248gtv,Vision,1996,Eagle
4383bnz,Avalon,2012,Toyota
2956jxg,F150,2009,Ford
5770ceb,Safari,1998,GMC
6328sun,Model S,2012,Tesla
0048eqc,Supra,1995,Toyota
4181fqr,A4,1998,Audi
6138tnv,Gallardo,2010,Lamborghini
0464aoz,Savana 1500,1998,GMC
9035kmb,Challenger,2011,Dodge
1943qwe,Eclipse,2007,Mitsubishi
5433yit,Tracker,1993,Geo
6093int,Stealth,1993,Dodge
7530abp,Pajero,1998,Mitsubishi
6852syc,LS,2001,Lexus
8063xap,Grand Prix,1998,Pontiac
4847cef,Escalade,2008,Cadillac
2505fsl,Mazda5,2006,Mazda
9426ixi,Galant,1990,Mitsubishi
8615cfd,Truck,1991,Mitsubishi
2545hvn,Escort,1984,Ford
2919tao,Ram,2003,Dodge
1210wna,Discovery,2001,Land Rover
9408tpb,Econoline E350,2002,Ford
1526ncj,Eldorado,2001,Cadillac
3763pet,Express,2010,Chevrolet
8032orn,S60,2005,Volvo
5822jrr,500SEL,1993,Mercedes-Benz
1908tay,Ion,2004,Saturn
7373ted,Explorer,2011,Ford
4618smt,Forester,2000,Subaru
7975yuf,Trooper,1992,Isuzu
5310nfa,Leganza,1999,Daewoo
5131jbf,Xterra,2010,Nissan
9101fkh,Eclipse,1993,Mitsubishi
9088tsr,S-Type,2007,Jaguar
6425kzw,Camaro,1980,Chevrolet
4954ive,Malibu,2001,Chevrolet
0916qsp,300ZX,1992,Nissan
2602nrn,Skylark,1997,Buick
9901aid,M5,2006,BMW
1243lul,Azure T,2010,Bentley
5729srq,Cayman,2010,Porsche
4791ppj,Touareg,2003,Volkswagen
2886hfv,Accord,2003,Honda
1475xzf,Sierra 2500,2005,GMC
2851spl,Elantra,1995,Hyundai
1912ega,A6,1996,Audi
5468dkz,H1,1993,Hummer
3320plv,QX56,2009,Infiniti
4683kmr,6 Series,2006,BMW
3762hqr,Civic,1993,Honda
0252qje,1500,1999,Chevrolet
8787gnx,Baja,2005,Subaru
1006hbv,Blazer,1996,Chevrolet
9290att,Savana 3500,1998,GMC
0323syl,CTS,2010,Cadillac
5165ghi,i-Series,2008,Isuzu
8914mri,Skyhawk,1985,Buick
5823kwj,Altima,2008,Nissan
6781ums,Esteem,1998,Suzuki
4094uqf,MKZ,2009,Lincoln
1456mnj,G6,2006,Pontiac
0706wwr,Suburban 2500,2012,Chevrolet
8863nst,CX-5,2013,Mazda
6932qig,Ram Wagon B150,1994,Dodge
8770jlt,Aviator,2005,Lincoln
7527gme,Accord Crosstour,2010,Honda
5690tet,430,1991,Maserati
4336vqx,RL,1998,Acura
6826von,Corolla,2009,Toyota
1491zwd,Continental,1991,Lincoln
5052ter,E250,2012,Ford
9974vvm,Land Cruiser,2007,Toyota
4165jhe,Passat,1995,Volkswagen
6328nva,Sidekick,1996,Suzuki
6277szf,Riviera,1989,Buick
9612ljw,Town Car,1986,Lincoln
7075cri,Sparrow,2004,Corbin
1221ify,Element,2011,Honda
9525eoa,Verano,2012,Buick
8244qem,Aurora,1999,Oldsmobile
5076kgm,SLX,1999,Acura
1036djc,Passat,2002,Volkswagen
5367rgt,I,1998,Infiniti
2936pkr,F-Series,1994,Ford
6138xpn,HHR,2009,Chevrolet
9083fhb,C-Class,2009,Mercedes-Benz
9205ndt,350Z,2005,Nissan
3615kmv,M5,2001,BMW
2360wgx,MX-5,1996,Mazda
7519vlm,X6,2012,BMW
9763gxn,Maxima,2011,Nissan
3876ckx,Grand Marquis,2007,Mercury
9855nzn,Mirage,1989,Mitsubishi
1797ptf,Countach,1985,Lamborghini
5713hgj,Expedition,2009,Ford
0017rff,Spectra,2004,Kia
7054rlq,CX-9,2012,Mazda
4359opu,Millenia,1996,Mazda
6567bfb,7 Series,2000,BMW
7286dup,Phantom,2012,Rolls-Royce
9253jps,Flex,2009,Ford
2969vfs,Golf III,1993,Volkswagen
1867elk,LTD Crown Victoria,1989,Ford
1632skf,RAV4,2004,Toyota
3448icn,Sonata,1997,Hyundai
1783ywa,Town & Country,2004,Chrysler
9877ron,Dakota,2011,Ram
6920noy,300,2010,Chrysler
8321fln,New Beetle,2006,Volkswagen
7289kmu,H1,2000,Hummer
8609uwm,Pajero,1991,Mitsubishi
1044glw,MX-5,1994,Mazda
5566eva,Rio,2005,Kia
6074dqc,Amanti,2009,Kia
2938tth,Touareg,2009,Volkswagen
7744jnd,Firefly,1992,Pontiac
2209fxm,Sephia,1997,Kia
7467dvq,V70,2002,Volvo
2938eac,Exige,2009,Lotus
8480xio,Galant,2009,Mitsubishi
7274ert,GTO,2006,Pontiac
2416kyx,Camaro,2001,Chevrolet
4547wax,Suburban,2006,Chevrolet
8514xbb,Avalanche 1500,2003,Chevrolet
5564ujz,Summit,1993,Eagle
3020dlt,Montero Sport,2004,Mitsubishi
6611qvs,3500 Club Coupe,1997,GMC
0847gxh,Express 2500,2000,Chevrolet
1669hkc,1000,1984,Pontiac
9996cjc,T100,1995,Toyota
3038dnd,Loyale,1990,Subaru
3220dqp,E-Class,2009,Mercedes-Benz
3100oez,300TE,1993,Mercedes-Benz
9720rpb,Volare,1976,Plymouth
9409ros,RX-7,1983,Mazda
0863ebs,X5 M,2012,BMW
8757egu,Galant,2011,Mitsubishi
3302cli,Savana 1500,2000,GMC
8751ikh,Sienna,2005,Toyota
8210ldk,Escalade EXT,2011,Cadillac
5859qdh,CTS-V,2007,Cadillac
3542cmd,Malibu,2011,Chevrolet
5714yio,Silverado 2500,2012,Chevrolet
8725lgw,Sierra 2500,1999,GMC
7963cgp,Altima,2005,Nissan
5976jbf,Xtra,1993,Toyota
3740qkr,Traverse,2011,Chevrolet
9406dkr,Diamante,2005,Mitsubishi
1500mfr,F430,2009,Ferrari
8363xrv,GT-R,2011,Nissan
7012rxx,A3,2006,Audi
1318gzk,Aztek,2004,Pontiac
4681xff,Defender 90,1994,Land Rover
9470thl,LTD Crown Victoria,1986,Ford
3522pht,900,1997,Saab
9862ukx,Festiva,1989,Ford
5453mec,Grand Prix,1983,Pontiac
2583efy,Flex,2011,Ford
0526reu,Firebird,1997,Pontiac
8995qiv,GTI,2005,Volkswagen
6761wde,850,1994,Volvo
4878vpf,Transit Connect,2010,Ford
4062had,XJ Series,2001,Jaguar
4758nkt,Century,1989,Buick
3068ile,200,1990,Audi
6404bct,MX-5,2001,Mazda
0378fyp,Panamera,2011,Porsche
5702ltu,Sunfire,1998,Pontiac
8968jue,SSR,2005,Chevrolet
8834ywq,New Beetle,2006,Volkswagen
4076qur,F250,2007,Ford
2938qiw,MX-5,1998,Mazda
8629rnb,DTS,2008,Cadillac
4275lbr,Quest,2009,Nissan
9418wgd,A6,1996,Audi
6805mdv,Escort,2002,Ford
1966owv,CR-Z,2011,Honda
6423dvl,Rogue,2008,Nissan
3158jfb,Regal,1985,Buick
7218ilq,Ram 3500,2004,Dodge
9817wgo,Tempo,1984,Ford
8225wda,Cruze,2013,Chevrolet
5281fun,Suburban 2500,1997,Chevrolet
9659bgv,Land Cruiser,1993,Toyota
3973gon,Civic,1980,Honda
2968sol,S-Type,2004,Jaguar
1249uzj,Quest,1996,Nissan
9657ppw,Mazdaspeed 3,2007,Mazda
9874web,LTD,1986,Ford
6889cdn,XK,2012,Jaguar
6651rze,Aerostar,1995,Ford
6664qkg,Pajero,2006,Mitsubishi
2236ctj,911,1986,Porsche
8538wbl,90,1988,Audi
9114ogv,Tracker,1994,Geo
0367gkg,F150,1993,Ford
2717ock,Forte,2010,Kia
8490vno,GS,1997,Lexus
3240uvs,Mirage,1994,Mitsubishi
3233ctr,A6,1997,Audi
0248nym,57,2008,Maybach
2814jph,Trans Sport,1990,Pontiac
9016yrh,280ZX,1979,Nissan
7475eng,4Runner,2003,Toyota
9417hej,1500,1998,GMC
3049jhh,Odyssey,2007,Honda
9734hts,Celica,1992,Toyota
4602zyx,MR2,1994,Toyota
2005upt,Clubman,2009,MINI
6741zse,Galant,2011,Mitsubishi
7250jau,Cougar,1999,Mercury
4454qud,Z3,1999,BMW
7812ihx,Golf,2006,Volkswagen
8031phg,Mazdaspeed 3,2012,Mazda
2795xez,Civic,2010,Honda
2008ass,1500 Club Coupe,1999,GMC
2289upg,Bonneville,1990,Pontiac
7662kos,GTI,1997,Volkswagen
5081ecb,Regal,1996,Buick
5524agh,Expedition,2003,Ford
0661drp,Tacoma,2008,Toyota
3658dye,Miata MX-5,2004,Mazda
7828wyf,M3,2002,BMW
1227lre,850,1996,Volvo
8024fsr,A7,2012,Audi
4720omc,Solstice,2007,Pontiac
5729niy,IS F,2011,Lexus
2199cns,Mustang,1988,Ford
8042zmo,G6,2010,Pontiac
3934obh,Yukon XL 1500,2004,GMC
3642wfe,Yukon XL 1500,2008,GMC
2592bea,Grand Cherokee,1997,Jeep
3469ujv,Express 1500,1996,Chevrolet
8657onm,300ZX,1993,Nissan
2465iqd,Rogue,2008,Nissan
2271imn,Q,2001,Infiniti
3863ysd,Durango,1999,Dodge
9485ssa,G,1993,Infiniti
6211cwa,3500,1994,GMC
2700gvg,S6,2009,Audi
5717twi,Savana,2011,GMC
2070rhb,QX,1998,Infiniti
1857ykl,Taurus,2000,Ford
5889vle,Lucerne,2006,Buick
2491mpv,XK Series,2003,Jaguar
6832ykk,Sentra,2008,Nissan
5724fqq,600SL,1993,Mercedes-Benz
4202nqq,Insight,2005,Honda
3771pkv,B-Series,2005,Mazda
9997tww,Justy,1988,Subaru
4449uyf,M Roadster,2008,BMW
9898agv,NX,1992,Nissan
7234pyz,928,1985,Porsche
8804shz,Firefly,1986,Pontiac
4442fzr,Club Wagon,1997,Ford
1564ggq,Impreza,2010,Subaru
2930yxx,A6,2002,Audi
8747zjc,Civic,2004,Honda
9110agu,Mystique,1995,Mercury
9461qnn,SLK-Class,2002,Mercedes-Benz
6108usw,Crown Victoria,2005,Ford
0497sfh,Passat,2004,Volkswagen
1088lpv,SJ,1993,Suzuki
3299kra,Quest,1999,Nissan
3023ige,Stratus,1998,Dodge
3349hwm,iQ,2012,Scion
7431siy,Comanche,1992,Jeep
3384wjp,Montero,1998,Mitsubishi
2593lzq,300SD,1993,Mercedes-Benz
1025orb,Protege,1996,Mazda
9288jch,Suburban 2500,2009,Chevrolet
9732ryz,Avalon,2012,Toyota
1015fml,Fleetwood,1995,Cadillac
3348cei,Impreza WRX,2011,Subaru
1559fsy,S5,2008,Audi
7614fcx,Carrera GT,2004,Porsche
0280fna,Lancer,2001,Mitsubishi
6518grg,Firebird,1996,Pontiac
2421vpn,QX,2009,Infiniti
1257csc,A6,2009,Audi
9151mkx,M3,2010,BMW
5069cbc,Corvette,1992,Chevrolet
8055awy,3000GT,1995,Mitsubishi
0619ywy,928,1995,Porsche
0920oxv,Ram 3500,1994,Dodge
1548dcf,Laser,1991,Plymouth
1739xcn,S40,2010,Volvo
6930ffn,SLK-Class,1997,Mercedes-Benz
3588his,Discovery,2005,Land Rover
6240prj,Colorado,2008,Chevrolet
5123suo,Suburban 1500,2009,Chevrolet
7935kyi,Continental GT,2009,Bentley
9049tcl,Silverado,2006,Chevrolet
9638ody,F-Series,1988,Ford
0067euz,Caliber,2008,Dodge
8167kvv,xB,2004,Scion
6049kjr,600,1957,BMW
7690fgg,330,2006,BMW
3695ruy,Corvette,1987,Chevrolet
2534yef,Park Avenue,1997,Buick
6811syc,M3,2001,BMW
7974vre,C-Class,1995,Mercedes-Benz
0063vvq,Mustang,1986,Ford
4772pbc,Exige,2006,Lotus
3849jjr,Dakota Club,2003,Dodge
7044emm,MKS,2012,Lincoln
3228aea,F350,2008,Ford
6998ufm,Ram 2500,2002,Dodge
3050mtv,Spyder,2004,Maserati
7020dqs,Savana 1500,2009,GMC
1231nzk,Murciélago LP640,2008,Lamborghini
5521wxq,Grand Prix,2006,Pontiac
6032nsa,Veyron,2009,Bugatti
6703qex,Silhouette,1996,Oldsmobile
5517dtf,Dakota,2003,Dodge
4363pbm,CL-Class,2010,Mercedes-Benz
9071bml,Sable,1986,Mercury
5337kzz,9-5,1999,Saab
0473usy,G,2008,Infiniti
6019epr,New Yorker,1993,Chrysler
9589crs,SX4,2011,Suzuki
6180xoo,Pathfinder,2002,Nissan
1941sys,3500,1994,GMC
5657cwp,Blazer,2002,Chevrolet
6504zxf,Silverado 2500,2008,Chevrolet
1029ucf,Exige,2005,Lotus
0176nuc,XL-7,2004,Suzuki
4763jpb,LeBaron,1994,Chrysler
6469sag,GS,2011,Lexus
1444sou,F150,2010,Ford
4830fyr,Swift,1989,Suzuki
1863iab,LS,1998,Lexus
9959ciw,330,2006,BMW
3116ggb,3500,1994,GMC
3531xnb,Vibe,2007,Pontiac
8626lov,LeSabre,1991,Buick
6286xjw,Golf,1997,Volkswagen
4197buk,Escape,2000,Ford
1748cbt,XL-7,2007,Suzuki
7466vme,Impreza,2011,Subaru
5273xeb,Grand Cherokee,2002,Jeep
6898jkj,Continental GTC,2012,Bentley
8221hgg,Grand Caravan,2001,Dodge
9175kza,PT Cruiser,2006,Chrysler
2855lyq,Astro,1993,Chevrolet
7916muo,300ZX,1993,Nissan
4644mem,Q5,2012,Audi
2417fdb,LeSabre,1992,Buick
6303uzo,968,1995,Porsche
0756ssi,Arnage,2006,Bentley
1725brv,GS,2007,Lexus
7908rzh,TL,1998,Acura
3041ila,Galant,1996,Mitsubishi
6792ndu,Continental,1996,Lincoln
6734aoy,Grand Caravan,2006,Dodge
5200iqj,Navigator,2005,Lincoln
7496fyq,ES,1989,Lexus
6813nwq,ES,2008,Lexus
5751olp,Murciélago,2003,Lamborghini
7947ibd,Xterra,2006,Nissan
1859fxp,Camaro,2001,Chevrolet
0759cdm,V40,2001,Volvo
8504xhh,L300,1987,Mitsubishi
0966cyg,Bonneville,1986,Pontiac
4139uje,Mazdaspeed6,2007,Mazda
5881put,S4,2010,Audi
8143bir,Bronco,1987,Ford
0160pbg,Z8,2001,BMW
5255qqr,Rogue,2011,Nissan
4424gdf,Pajero,1995,Mitsubishi
4215lie,Mazdaspeed 3,2007,Mazda
4613qzf,Verona,2004,Suzuki
5019srz,LeBaron,1993,Chrysler
4644ubf,Sonata,2002,Hyundai
1188ajh,Expedition,2002,Ford
7126nhp,Roadster,2011,Tesla
3967gsn,Econoline E250,1993,Ford
3647ptw,Scirocco,1987,Volkswagen
9490stw,MKZ,2010,Lincoln
6571oqy,Veracruz,2007,Hyundai
0293ccr,Escort,2004,Ford
3616kbb,TSX,2007,Acura
4056vhn,Prizm,2000,Chevrolet
5486rwt,Starion,1986,Mitsubishi
3716rsz,S40,2003,Volvo
2938xhe,Range Rover,1994,Land Rover
5144vlg,Jetta,2008,Volkswagen
2568zlh,Frontier,2012,Nissan
4969imi,Sierra 1500,2007,GMC
7895blv,Capri,1993,Mercury
1851fyh,928,1995,Porsche
0930jvh,Legacy,2002,Subaru
2157jae,2500,1992,GMC
0510wsi,Passport,2002,Honda
1146pwk,Frontier,2002,Nissan
2723txc,Cooper Clubman,2009,MINI
2048hdg,Scirocco,1986,Volkswagen
6647sql,Savana 2500,1997,GMC
6340ulu,Outback Sport,2002,Subaru
3837pmk,Escort,1998,Ford
4471qls,GTI,2006,Volkswagen
0586der,Nitro,2011,Dodge
8358zso,MPV,2005,Mazda
4260dnj,Navigator L,2010,Lincoln
9952jsg,Envoy,2008,GMC
7959fbj,Regal,1999,Buick
5833dor,Yukon,2005,GMC
1571qdr,90,1995,Audi
5542djc,Escort,1993,Ford
4077ijn,Maxima,2001,Nissan
6356kvd,Elise,2005,Lotus
1153kgd,Montana SV6,2006,Pontiac
5749lgd,458 Italia,2011,Ferrari
5942mnj,626,1993,Mazda
6332wyo,Freelander,2011,Land Rover
