matricula,modelo,año,fabricante
0414txa,Prius,2009,Toyota
3485oyv,G3,2010,Pontiac
4110ekf,Continental,1986,Lincoln
8227oag,Cavalier,2003,Chevrolet
8349wvb,RX-7,1987,Mazda
8996ztl,Ascender,2008,Isuzu
4570pde,Rodeo,1997,Isuzu
5263iqx,Colt,1993,Dodge
7381lmx,Caprice,1992,Chevrolet
1034vhl,H1,2006,Hummer
2987jyp,Escalade EXT,2004,Cadillac
0583tjx,Traverse,2012,Chevrolet
6610fhy,Ram 3500,2009,Dodge
4408sif,Bonneville,1984,Pontiac
5637ffs,MX-6,1994,Mazda
0987sxk,S10 Blazer,1993,Chevrolet
6324kce,3500,1994,GMC
5854tlq,S-Series,2000,Saturn
5175rbb,Galant,1987,Mitsubishi
0393twu,Savana,2008,GMC
5469gxi,Metro,1993,Geo
6036xxk,Corrado,1990,Volkswagen
1805dlc,Cutlass,1999,Oldsmobile
1832viv,ES,2007,Lexus
7017fip,Highlander,2006,Toyota
1420uqm,Vantage,2008,Aston Martin
9973jca,Tundra,2005,Toyota
1833dlp,Laser,1985,Ford
4626cje,SJ,1985,Suzuki
4805gmi,B-Series Plus,2003,Mazda
1914zzu,Reno,2006,Suzuki
1212ifb,3 Series,2005,BMW
9633rhk,CTS-V,2007,Cadillac
1614wle,TrailBlazer,2006,Chevrolet
9550ykn,Sentra,2005,Nissan
7546kyb,S8,2003,Audi
5819paj,Grand Am,1985,Pontiac
0865xyr,Fox,1993,Volkswagen
3756cwy,Civic,1993,Honda
4375pyc,Express 2500,2011,Chevrolet
7428vir,Cayman,2011,Porsche
3984rnw,911,2011,Porsche
6831ryw,Camry Hybrid,2010,Toyota
3802qli,Gallardo,2003,Lamborghini
2462ver,MKS,2009,Lincoln
2027pdl,Z3,1996,BMW
0111pvc,Town Car,1986,Lincoln
0467fot,Brat,1985,Subaru
0040fmq,Navigator,2002,Lincoln
2494yvi,Acadia,2009,GMC
6601nqr,Swift,1995,Suzuki
9623cqh,Taurus,1999,Ford
8230tot,G6,2007,Pontiac
1229yez,Prius,2007,Toyota
3165ent,Mountaineer,2003,Mercury
1638cxu,Z3,1998,BMW
8926msw,Panamera,2010,Porsche
7922zug,Range Rover,2003,Land Rover
6419fba,8 Series,1994,BMW
7290uox,Continental,2000,Lincoln
3158bvs,Cougar,2002,Mercury
5658ric,Swift,1999,Suzuki
2651jjt,MX-5,2000,Mazda
2205wyp,7 Series,1992,BMW
8744kwz,Liberty,2005,Jeep
5384pcc,S-Series,2001,Saturn
8499wvw,Grand Caravan,1992,Dodge
1410plu,Mirage,2001,Mitsubishi
7581mvf,V12 Vantage,2011,Aston Martin
8991clb,Camaro,2002,Chevrolet
8472eum,Capri,1991,Mercury
2426oue,W201,1992,Mercedes-Benz
0352tbr,LTD Crown Victoria,1985,Ford
7283ohk,NSX,1992,Acura
1306rqo,Axiom,2004,Isuzu
6212rzs,Shadow,1994,Dodge
0266hqw,Safari,1986,Pontiac
9315grt,TL,2011,Acura
0340jyo,Outlander,2006,Mitsubishi
5662tkv,SRX,2012,Cadillac
8597ijj,FJ Cruiser,2010,Toyota
3745xsg,Silverado 3500,2001,Chevrolet
3034oii,Mustang,1968,Ford
9495hzr,Quest,2011,Nissan
2435kdf,E-Class,1985,Mercedes-Benz
3738bbb,RX-7,1990,Mazda
4018esg,XJ Series,1993,Jaguar
1451nyd,E-Class,2011,Mercedes-Benz
3028flf,Equinox,2012,Chevrolet
0274uhm,Pajero,2005,Mitsubishi
1474lln,525,2001,BMW
3951kge,Passat,1987,Volkswagen
6399gkw,Prius,2008,Toyota
0351oqw,Blazer,1998,Chevrolet
0505xmz,430 Scuderia,2008,Ferrari
8366ykn,Escalade,2000,Cadillac
7466ebk,Econoline E150,1999,Ford
6410tni,del Sol,1996,Honda
7451jom,Santa Fe,2007,Hyundai
3315ukv,Crossfire Roadster,2006,Chrysler
1981ebq,Discovery,1998,Land Rover
1608mbl,CTS-V,2006,Cadillac
3412suf,Rodeo,1995,Isuzu
4703ugg,Suburban 2500,2000,Chevrolet
3277idz,Escort,1993,Ford
2636weh,SJ,1986,Suzuki
5063bbi,Maxima,2002,Nissan
3667qzz,Alero,2002,Oldsmobile
2610obu,Legend,1993,Acura
5458qrn,CL-Class,1998,Mercedes-Benz
7195bwt,Gallardo,2007,Lamborghini
0370nqx,F430,2009,Ferrari
0871ptd,Corvette,1995,Chevrolet
3797gro,760,2003,BMW
5429bdd,Firefly,1995,Pontiac
4671zdd,G-Series G30,1993,Chevrolet
4091qun,Yukon,2012,GMC
8107kxe,Tahoe,2011,Chevrolet
1694kew,Rodeo,1996,Isuzu
5702acp,Ram 3500,1999,Dodge
3837omy,Grand Caravan,1994,Dodge
0676qws,Achieva,1993,Oldsmobile
8634lvb,B2000,1985,Mazda
2865ria,9000,1997,Saab
8512nyd,Bravada,1998,Oldsmobile
5645mcl,F250,1999,Ford
8483vvf,9-3,2009,Saab
9366ydg,Rendezvous,2003,Buick
6647vme,Grand Marquis,1984,Mercury
1506lid,SLK-Class,2007,Mercedes-Benz
5148vvb,SJ,1993,Suzuki
4143mjv,Vibe,2009,Pontiac
6513kjx,Silverado,2006,Chevrolet
9357cqi,Charger,2008,Dodge
0385gjl,Corvette,1984,Chevrolet
3701ope,400E,1992,Mercedes-Benz
2405bfa,C-Class,2004,Mercedes-Benz
1029esd,Ram 3500,1999,Dodge
0467ubs,Ram Van 1500,1997,Dodge
6835sdc,TrailBlazer,2002,Chevrolet
4206sut,599 GTB Fiorano,2010,Ferrari
0492mhf,Concorde,2002,Chrysler
4299mgk,Crown Victoria,2007,Ford
0761ink,4Runner,2010,Toyota
3897tic,Echo,2004,Toyota
6833eax,Avalanche,2012,Chevrolet
2204mzm,Galant,1994,Mitsubishi
2199ukh,Galaxie,1964,Ford
3303vmf,M,2003,Infiniti
1619wzn,626,1995,Mazda
7338isc,i-Series,2008,Isuzu
2051plf,Crosstour,2012,Honda
6733cxi,Tiguan,2010,Volkswagen
9629bwi,Grand Am,1996,Pontiac
4265naf,Camaro,1976,Chevrolet
9609bet,S80,2008,Volvo
9727eqp,Range Rover Sport,2010,Land Rover
3471adc,940,1992,Volvo
8994ngv,Sierra 2500,2011,GMC
9685drh,Entourage,2009,Hyundai
0361ekk,Astro,1999,Chevrolet
8613uwv,Justy,1987,Subaru
2405fpm,Sequoia,2005,Toyota
2667kxx,Breeze,1996,Plymouth
2433tmf,Quest,1998,Nissan
5346hop,MKS,2009,Lincoln
0518imf,F250,2003,Ford
0849zpj,Ranger,2004,Ford
6582tiu,Escort,1996,Ford
1536gzr,Savana,2006,GMC
1029xke,IS,2010,Lexus
5588fkm,Highlander,2004,Toyota
7611bke,Swift,1999,Suzuki
4399rfl,Fortwo,2012,Smart
4375iag,Diablo,1991,Lamborghini
8641lzx,Aurora,2003,Oldsmobile
7651knx,Versa,2008,Nissan
8085zgq,Firebird Trans Am,1986,Pontiac
6660sqx,Safari,1992,GMC
6923igq,A4,2002,Audi
4161rcr,MR2,1994,Toyota
1701bzo,3000GT,1992,Mitsubishi
0804xee,H3,2009,Hummer
5520xtb,Eclipse,2012,Mitsubishi
8362upm,Optima,2005,Kia
2406twk,Integra,1998,Acura
2145bfq,Challenger,2008,Dodge
2769rul,Aero 8,2009,Morgan
1182tyx,X6 M,2012,BMW
3754czd,Biturbo,1986,Maserati
4455ppp,Savana 2500,2005,GMC
0823fuy,C70,2003,Volvo
1318smw,Reventón,2008,Lamborghini
0405tqf,Range Rover,2000,Land Rover
5906bdl,Blazer,2002,Chevrolet
6037abr,E-Class,2009,Mercedes-Benz
5231bfo,Laser,1991,Plymouth
0462kmc,Coupe,2005,Maserati
2961rzs,Paseo,1997,Toyota
7024siy,XC90,2005,Volvo
4038uah,LTD Crown Victoria,1990,Ford
8352mjo,Tiguan,2011,Volkswagen
3613slg,Seville,1993,Cadillac
8213pwy,LS,2012,Lexus
1204udc,Soul,2011,Kia
7665zjf,L300,1989,Mitsubishi
9770dbn,XLR,2009,Cadillac
1009mcp,B-Series Plus,1995,Mazda
1192rmg,EX,2012,Infiniti
8513wqz,V40,2003,Volvo
8782ogg,Expedition,1997,Ford
7302rfo,Mirage,1990,Mitsubishi
5292iuv,Dakota Club,1997,Dodge
2445wtz,Laser,1985,Ford
5825atn,Genesis,2012,Hyundai
1918osz,M3,2004,BMW
8087vjq,Highlander,2003,Toyota
3251xge,X5,2006,BMW
9601hme,Space,1984,Mitsubishi
1682ejk,RX,2011,Lexus
9699zqk,612 Scaglietti,2009,Ferrari
9754yrq,ES,2005,Lexus
8431aba,Sienna,2000,Toyota
3673ivo,Sierra 1500,1999,GMC
6127uka,IS,2004,Lexus
1776fjv,Contour,1999,Ford
7736rqh,Avalon,1998,Toyota
6291eed,Thunderbird,1985,Ford
1819dfc,XK,2012,Jaguar
7374nnk,Galant,2008,Mitsubishi
6435fso,Explorer Sport Trac,2003,Ford
3851bxw,Escape,2013,Ford
4060jlm,Explorer,2002,Ford
6427wij,Express 2500,2004,Chevrolet
2232uro,545,2005,BMW
4756evh,Breeze,1999,Plymouth
5178yfd,S4,2002,Audi
3543fbb,SL-Class,2009,Mercedes-Benz
4945nfq,1500,1995,Chevrolet
5762kkw,Quattro,1985,Audi
8949dlg,PT Cruiser,2009,Chrysler
5528xtf,MKS,2010,Lincoln
6222eks,Town & Country,1997,Chrysler
8302tuu,911,2009,Porsche
8609avu,200,2011,Chrysler
7394rmj,MPV,1993,Mazda
2682wgp,XK Series,2002,Jaguar
7617fwx,Mazda6,2006,Mazda
8442wsv,PT Cruiser,2006,Chrysler
6185pks,LeMans,1968,Pontiac
8315kkb,Envoy XL,2004,GMC
1362sqs,H3,2008,Hummer
8631vkx,XL-7,2001,Suzuki
0668uus,L300,1987,Mitsubishi
9120gja,D350,1992,Dodge
7929uym,Nitro,2010,Dodge
4703iff,Intrepid,1997,Dodge
3977kgy,2500,1999,Chevrolet
0368ibd,Veloster,2013,Hyundai
7397lmh,Thunderbird,1977,Ford
7467zga,M-Class,2010,Mercedes-Benz
7220xdh,XK Series,2002,Jaguar
5284adp,MX-5,1994,Mazda
1572otn,Continental GTC,2012,Bentley
8257fjb,Titan,2004,Nissan
8540wsd,Grand Cherokee,2012,Jeep
3812nqz,S6,2011,Audi
7771ovi,Rodeo,1997,Isuzu
7744zlg,Discovery,2007,Land Rover
6694gof,Ram Van 1500,1997,Dodge
2839wei,Sebring,2007,Chrysler
2231qud,Jetta,1992,Volkswagen
5928yae,Seville,1999,Cadillac
4669xkc,FJ Cruiser,2008,Toyota
6202sdr,F350,1995,Ford
6148cdg,xA,2006,Scion
0933cvj,Rally Wagon G3500,1996,GMC
4412cuu,MPV,1989,Mazda
1989lvs,929,1992,Mazda
3181suf,CL,1997,Acura
4575llw,E150,2006,Ford
8378itk,Cutlass Supreme,1994,Oldsmobile
9217yff,Phantom,2006,Rolls-Royce
6565uqb,626,1985,Mazda
5542cwa,Sonata,1992,Hyundai
4537fog,Z4,2008,BMW
4867jeo,600SL,1993,Mercedes-Benz
3464ryh,SLK-Class,2011,Mercedes-Benz
8875his,Beretta,1993,Chevrolet
2547tgj,Excursion,2000,Ford
6223lsy,Tahoe,1997,Chevrolet
5979zje,Montero,2002,Mitsubishi
3605equ,Edge,2010,Ford
2243lql,MKT,2013,Lincoln
4900gyy,Commander,2010,Jeep
8700ziu,Q,1992,Infiniti
6376sfj,C-Class,2010,Mercedes-Benz
0210tox,S2000,2007,Honda
5727sna,Impala,2001,Chevrolet
7709nij,LTD,1986,Ford
1780yag,Explorer Sport,2002,Ford
5404xbp,Sonata,2007,Hyundai
0014knm,Ram 3500 Club,1995,Dodge
4298djr,LX,2005,Lexus
8287evn,Eclipse,2012,Mitsubishi
3417kim,X5,2001,BMW
1267jkv,Continental,1997,Lincoln
8970cla,LX,1996,Lexus
3527bdk,Sentra,2009,Nissan
1160dcq,HHR,2006,Chevrolet
9655mhe,Suburban 2500,2001,Chevrolet
6157veg,Quattroporte,2006,Maserati
3185gbf,Mariner,2011,Mercury
8592qfi,Silverado 2500,2000,Chevrolet
2953tif,F250,2000,Ford
4421xso,FJ Cruiser,2011,Toyota
3864zsk,Cayenne,2008,Porsche
4384yvt,Santa Fe,2008,Hyundai
5440lxv,E-Series,1989,Ford
0543oak,EXP,1985,Ford
1964zwf,C-Class,1993,Mercedes-Benz
7257ffs,Range Rover,2011,Land Rover
2884xjq,S4,2005,Audi
7100ysm,Justy,1994,Subaru
9268pxa,E250,2010,Ford
4702kpa,LTD,1985,Ford
0421sng,Rendezvous,2006,Buick
0065ykf,Continental Super,2010,Bentley
5451fom,XC70,2006,Volvo
7941dot,Mirage,2000,Mitsubishi
5871keh,Frontier,2001,Nissan
5238ncb,X6 M,2010,BMW
5697rpm,Torino,1970,Ford
0040zol,Avalon,1999,Toyota
5689rpi,Mazda5,2006,Mazda
1624diw,Z4,2012,BMW
3079fyp,SJ 410,1986,Suzuki
5087jbl,E-Series,2002,Ford
3470bem,Ram 1500 Club,1997,Dodge
5111fbv,7 Series,2005,BMW
7393ijv,Aero 8,2007,Morgan
3584btt,G-Series 1500,1998,Chevrolet
2079uxg,Sportvan G30,1992,Chevrolet
2532zpr,Sierra 1500,2011,GMC
9234aac,H2 SUT,2006,Hummer
7688mrp,Lancer,2008,Mitsubishi
0279thq,Insight,2003,Honda
6043qyq,Impala,2001,Chevrolet
5142rak,A4,2009,Audi
2120jmi,Astro,2001,Chevrolet
8945ubv,Dakota,2001,Dodge
5313tnd,Matrix,2010,Toyota
1447pco,Mark VII,1984,Lincoln
8810zbf,CTS,2003,Cadillac
5442uwn,Ram 3500,2006,Dodge
7901xlf,Tercel,1998,Toyota
5074xqu,VUE,2006,Saturn
8293odg,F350,2003,Ford
7515hsl,GTI,1989,Volkswagen
0501ofh,MPV,2000,Mazda
5283kon,2500,1993,Chevrolet
2674amc,Pajero,2006,Mitsubishi
2752tay,Integra,2001,Acura
4423mmx,GTI,2009,Volkswagen
4476sjo,Ridgeline,2007,Honda
8791xvw,911,2005,Porsche
7057nlq,GLK-Class,2011,Mercedes-Benz
6015hye,928,1987,Porsche
4433yxr,Express 3500,2012,Chevrolet
0497kqr,R-Class,2012,Mercedes-Benz
4530zrc,Mirage,1996,Mitsubishi
0440zgp,Rodeo,1999,Isuzu
0795jey,Mustang,2003,Ford
6325rxe,Excel,1989,Mitsubishi
9092gjy,Mustang,1994,Ford
5605vgw,Nitro,2008,Dodge
8380svi,Bronco,1985,Ford
0232yil,Solara,2002,Toyota
1318ofa,XL7,2009,Suzuki
0034vju,Caravan,2005,Dodge
3720icw,Suburban 1500,1992,Chevrolet
4642sgn,Durango,2001,Dodge
9943ptc,Santa Fe,2008,Hyundai
5674evu,Ram 3500,2003,Dodge
6075knh,Express 1500,1997,Chevrolet
2148wjr,Rondo,2010,Kia
5713bmx,6000,1988,Pontiac
3895qot,H3T,2010,Hummer
9562owr,Sportage,2010,Kia
6016eqn,Ram Wagon B350,1994,Dodge
9740rtn,CLK-Class,1998,Mercedes-Benz
2482ysc,LX,2008,Lexus
6538bar,Express 3500,2003,Chevrolet
7473qdf,S90,1998,Volvo
1927mas,Dakota Club,1993,Dodge
8830pfa,400E,1992,Mercedes-Benz
8638lbq,Cavalier,1998,Chevrolet
1064vhq,RX-7,1985,Mazda
7169imc,Chariot,1993,Mitsubishi
3549cmc,911,2010,Porsche
3558dbk,Voyager,1985,Plymouth
5499xct,Parisienne,1986,Pontiac
3144guv,SVX,1995,Subaru
5181ago,G,2006,Infiniti
3795wpu,Sidekick,1996,Suzuki
1360vkn,Suburban 1500,1997,GMC
2953qgr,Grand Am,1995,Pontiac
2385lmh,Yukon XL 2500,2009,GMC
2029fvk,Savana,2012,GMC
6488ckk,Monterey,2005,Mercury
2258nnl,Town & Country,2009,Chrysler
6516uzw,Land Cruiser,1992,Toyota
7962fcj,Celica,1983,Toyota
6225hyl,XK,2012,Jaguar
3697liv,Tribeca,2008,Subaru
6686wmh,MKX,2007,Lincoln
2238gqn,E-Class,2005,Mercedes-Benz
5638osi,Sierra Hybrid,2006,GMC
3572lnx,Civic,1998,Honda
2638cyz,C30,2011,Volvo
4931vrl,2500,1995,Chevrolet
5193cfr,Q7,2008,Audi
5834yaa,Range Rover,2011,Land Rover
7109hsp,V50,2008,Volvo
4952aec,Escort,1990,Ford
2932pcg,Neon,1998,Plymouth
9505wot,CX-7,2007,Mazda
5589nuk,Golf,1992,Volkswagen
8008xhf,S-Class,1989,Mercedes-Benz
0110uoy,Capri,1985,Mercury
1046tqr,Outback,2007,Subaru
9588llq,Ranger,1994,Ford
0570mjj,Rodeo Sport,2003,Isuzu
9164eoj,Bronco,1990,Ford
8561qzc,Aerostar,1996,Ford
1886wtu,Pathfinder,2011,Nissan
7031nyl,Charger,2007,Dodge
0038ded,B-Series,1991,Mazda
0133aet,Econoline E350,2000,Ford
0115naw,Mustang,2007,Ford
0415yzv,Leone,1987,Subaru
0547hju,9-5,2004,Saab
4654ezi,Sonata,2008,Hyundai
7980euy,F-Series Super Duty,2010,Ford
9479waf,Tiburon,1999,Hyundai
3609hem,Brooklands,2009,Bentley
0146vmo,Elantra,1994,Hyundai
3241cdl,Sebring,2008,Chrysler
8349hlb,Concorde,1999,Chrysler
8086fbh,Envoy,2004,GMC
2044ddr,B-Series Plus,1992,Mazda
5572ljv,Celica,1982,Toyota
3624ldg,XC70,2010,Volvo
1421dzg,LR3,2009,Land Rover
8537wnj,Esteem,1996,Suzuki
6306rsq,Grand Cherokee,1997,Jeep
5906brj,Cabriolet,2002,Volkswagen
7178yqu,Touareg 2,2008,Volkswagen
1481lmw,323,1992,Mazda
8071ozu,Z4,2009,BMW
4379npj,MX-5,2004,Mazda
5528cep,Dakota,1999,Dodge
4038int,5000S,1986,Audi
3890nsk,9-3,2002,Saab
4498ivy,Ram Van 2500,2001,Dodge
1344adm,Jetta,1999,Volkswagen
2880mvt,Intrepid,1998,Dodge
0536jke,Previa,1994,Toyota
2470new,MPV,2002,Mazda
2009hiu,F-Series,1987,Ford
0600byo,Tiburon,2001,Hyundai
7122cwd,Astro,1996,Chevrolet
2793wzx,Spider,1994,Alfa Romeo
2098srm,S60,2001,Volvo
6357wsg,GX,2012,Lexus
1784gil,Passat,1987,Volkswagen
0049dem,Milan,2008,Mercury
9393wpc,MR2,1985,Toyota
1204xqj,Express 1500,2005,Chevrolet
1429cng,Stratus,2006,Dodge
3163mlx,Corvette,2000,Chevrolet
3715rmz,GT,2006,Ford
4805vux,Corolla,2006,Toyota
0893eim,DTS,2008,Cadillac
5919zmm,Skylark,1995,Buick
2876kvj,1500 Club Coupe,1992,GMC
7185snc,Pacifica,2007,Chrysler
9166smr,M,2004,Infiniti
7109vgc,Talon,1990,Eagle
1727ocu,VUE,2005,Saturn
3713jwh,Chariot,1995,Mitsubishi
5978tev,Sorento,2007,Kia
2357qnb,Frontier,2001,Nissan
1681bxj,6000,1986,Pontiac
6324vcz,Silverado 2500,2000,Chevrolet
2020crn,Jetta,2003,Volkswagen
